name,category,movie_name,rating,url
Christopher Nolan,writer,Oppenheimer,8.3,https://www.imdb.com/title/tt15398776/?ref_=nm_flmg_job_1_cdt_img
Christopher Nolan,writer,Tenet,7.3,https://www.imdb.com/title/tt6723592/?ref_=nm_flmg_job_1_cdt_img_1
Christopher Nolan,writer,Dunkerque,7.8,https://www.imdb.com/title/tt5013056/?ref_=nm_flmg_job_1_cdt_img_2
Christopher Nolan,writer,Interstellar,8.7,https://www.imdb.com/title/tt0816692/?ref_=nm_flmg_job_1_cdt_img_3
Christopher Nolan,writer,El hombre de acero,7.1,https://www.imdb.com/title/tt0770828/?ref_=nm_flmg_job_1_cdt_img_4
Christopher Nolan,writer,El caballero oscuro: La leyenda renace,8.4,https://www.imdb.com/title/tt1345836/?ref_=nm_flmg_job_1_cdt_img_5
Christopher Nolan,writer,Inception: The Cobol Job,7.5,https://www.imdb.com/title/tt1790736/?ref_=nm_flmg_job_1_cdt_img_6
Christopher Nolan,writer,Origen,8.8,https://www.imdb.com/title/tt1375666/?ref_=nm_flmg_job_1_cdt_img_7
Christopher Nolan,writer,El caballero oscuro,9.0,https://www.imdb.com/title/tt0468569/?ref_=nm_flmg_job_1_cdt_img_8
Christopher Nolan,writer,El truco final (El prestigio),8.5,https://www.imdb.com/title/tt0482571/?ref_=nm_flmg_job_1_cdt_img_9
Christopher Nolan,writer,Batman Begins,8.2,https://www.imdb.com/title/tt0450392/?ref_=nm_flmg_job_1_cdt_img_10
Christopher Nolan,writer,Batman Begins,8.2,https://www.imdb.com/title/tt0372784/?ref_=nm_flmg_job_1_cdt_img_11
Christopher Nolan,writer,Memento,8.4,https://www.imdb.com/title/tt0209144/?ref_=nm_flmg_job_1_cdt_img_12
Christopher Nolan,writer,Following,7.4,https://www.imdb.com/title/tt0154506/?ref_=nm_flmg_job_1_cdt_img_13
Christopher Nolan,writer,Doodlebug,7.0,https://www.imdb.com/title/tt0411302/?ref_=nm_flmg_job_1_cdt_img_14
