director_name,director_url,year_result,award_name,category,title
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,Oscar,Best Director,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1991 Nominee,Oscar,"Best Short Film, Live Action",Dear Rosie
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,Best Foreign Film Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2011 Nominee,Banff Rockie Award,Best Sitcom,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Bodil,Best Non-American Film (Bedste ikke amerikanske film),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2012 Nominee,BAFTA TV Award,Best Situation Comedy,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,David Lean Award for Direction,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1991 Nominee,BAFTA Film Award,Best Short Film,Dear Rosie
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2011 Nominee,Broadcasting Press Guild Award,Best Comedy/Entertainment,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,César,Best Foreign Film (Meilleur film étranger),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1991 Winner,Gold Plaque,Best Short Film,Dear Rosie
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,David,Best Foreign Film (Miglior Film Straniero),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2005 Nominee,Golden Hitchcock,,Sueños mágicos
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Golden Hitchcock,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Audience Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Audience Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Evening Standard British Film Award,Best Film,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Best Foreign Film,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Goya,Best European Film (Mejor Película Europea),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,ALFS Award,British Newcomer of the Year,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,MTV Movie Award,Best New Filmmaker,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Robert,Best Foreign Film (Årets udenlandske spillefilm),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2011 Nominee,RTS Television Award,Best Scripted Comedy,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,OCIC Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Cipputi Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Audience Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Butaca,Best Art House Film (Millor película d'autor),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Shadowline Award,,
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2006 Winner,Just Film Special Mention,Children's Jury,Sueños mágicos
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2014 Winner,Grand Prize Short Film,,
