name,category,movie_name,rating,url
J.J. Perry,stunts,Avatar: El sentido del agua,7.5,https://www.imdb.com/title/tt1630029/?ref_=nm_flmg_job_1_cdt_img
J.J. Perry,stunts,Samaritan,5.7,https://www.imdb.com/title/tt5500218/?ref_=nm_flmg_job_1_cdt_img_1
J.J. Perry,stunts,Fast & Furious 9,5.2,https://www.imdb.com/title/tt5433138/?ref_=nm_flmg_job_1_cdt_img_2
J.J. Perry,stunts,Sombra y hueso,7.5,https://www.imdb.com/title/tt2403776/?ref_=nm_flmg_job_1_cdt_img_3
J.J. Perry,stunts,Falcon y el Soldado de Invierno,7.1,https://www.imdb.com/title/tt9208876/?ref_=nm_flmg_job_1_cdt_img_4
J.J. Perry,stunts,Beast Mode,3.7,https://www.imdb.com/title/tt2323912/?ref_=nm_flmg_job_1_cdt_img_5
J.J. Perry,stunts,Bloodshot,5.7,https://www.imdb.com/title/tt1634106/?ref_=nm_flmg_job_1_cdt_img_6
J.J. Perry,stunts,Beast Mode,N/A,https://www.imdb.com/title/tt7772618/?ref_=nm_flmg_job_1_cdt_img_7
J.J. Perry,stunts,Stumptown,7.5,https://www.imdb.com/title/tt10313066/?ref_=nm_flmg_job_1_cdt_img_8
J.J. Perry,stunts,Géminis,5.7,https://www.imdb.com/title/tt1025100/?ref_=nm_flmg_job_1_cdt_img_9
J.J. Perry,stunts,El rascacielos,5.8,https://www.imdb.com/title/tt5758778/?ref_=nm_flmg_job_1_cdt_img_10
J.J. Perry,stunts,S.W.A.T.: Los hombres de Harrelson,7.2,https://www.imdb.com/title/tt6111130/?ref_=nm_flmg_job_1_cdt_img_11
J.J. Perry,stunts,La Torre Oscura,5.6,https://www.imdb.com/title/tt1648190/?ref_=nm_flmg_job_1_cdt_img_12
J.J. Perry,stunts,El Santo,4.9,https://www.imdb.com/title/tt2569088/?ref_=nm_flmg_job_1_cdt_img_13
J.J. Perry,stunts,Fast & Furious 8,6.6,https://www.imdb.com/title/tt4630562/?ref_=nm_flmg_job_1_cdt_img_14
J.J. Perry,actor,John Wick (Otro día para matar),7.5,https://www.imdb.com/title/tt2911666/?ref_=nm_flmg_job_2_cdt_img
J.J. Perry,actor,Divergente,6.6,https://www.imdb.com/title/tt1840309/?ref_=nm_flmg_job_2_cdt_img_1
J.J. Perry,actor,Machete Kills,5.6,https://www.imdb.com/title/tt2002718/?ref_=nm_flmg_job_2_cdt_img_2
J.J. Perry,actor,Objetivo: La Casa Blanca,6.5,https://www.imdb.com/title/tt2302755/?ref_=nm_flmg_job_2_cdt_img_3
J.J. Perry,actor,Total Recall: Desafío total,6.2,https://www.imdb.com/title/tt1386703/?ref_=nm_flmg_job_2_cdt_img_4
J.J. Perry,actor,Safe,6.5,https://www.imdb.com/title/tt1656190/?ref_=nm_flmg_job_2_cdt_img_5
J.J. Perry,actor,Vacaciones en el infierno,6.9,https://www.imdb.com/title/tt1567609/?ref_=nm_flmg_job_2_cdt_img_6
J.J. Perry,actor,Indomable (Haywire),5.8,https://www.imdb.com/title/tt1506999/?ref_=nm_flmg_job_2_cdt_img_7
J.J. Perry,actor,Cat Run,5.5,https://www.imdb.com/title/tt1446147/?ref_=nm_flmg_job_2_cdt_img_8
