decade,year,result,director,movie,director url
Década de 2020,2025,Ganador,Brady Corbet,The Brutalist,https://www.imdb.com/es-es/name/nm1227232/
Década de 2020,2025,Nominee,Jacques Audiard,Emilia Pérez,https://www.imdb.com/es-es/name/nm0002191/
Década de 2020,2025,Nominee,Sean Baker,Anora,https://www.imdb.com/es-es/name/nm0048918/
Década de 2020,2025,Nominee,Edward Berger,Cónclave,https://www.imdb.com/es-es/name/nm0074163/
Década de 2020,2025,Nominee,Coralie Fargeat,La sustancia,https://www.imdb.com/es-es/name/nm0267287/
Década de 2020,2025,Nominee,Payal Kapadia,La luz que imaginamos,https://www.imdb.com/es-es/name/nm10339953/
Década de 2020,2024,Ganador,Christopher Nolan,Oppenheimer,https://www.imdb.com/es-es/name/nm0634240/
Década de 2020,2024,Nominee,Bradley Cooper,Maestro,https://www.imdb.com/es-es/name/nm0177896/
Década de 2020,2024,Nominee,Celine Song,Vidas pasadas,https://www.imdb.com/es-es/name/nm10227660/
Década de 2020,2024,Nominee,Greta Gerwig,Barbie,https://www.imdb.com/es-es/name/nm1950086/
Década de 2020,2024,Nominee,Martin Scorsese,Los asesinos de la luna,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2024,Nominee,Yorgos Lanthimos,Pobres criaturas,https://www.imdb.com/es-es/name/nm0487166/
Década de 2020,2023,Ganador,Steven Spielberg,Los Fabelman,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2023,Nominee,James Cameron,Avatar: El sentido del agua,https://www.imdb.com/es-es/name/nm0000116/
Década de 2020,2023,Nominee,Daniel Kwan,Todo a la vez en todas partes,https://www.imdb.com/es-es/name/nm3453283/
Década de 2020,2023,Nominee,Baz Luhrmann,Elvis,https://www.imdb.com/es-es/name/nm0525303/
Década de 2020,2023,Nominee,Martin McDonagh,Almas en pena de Inisherin,https://www.imdb.com/es-es/name/nm1732981/
Década de 2020,2022,Ganador,Jane Campion,El poder del perro,https://www.imdb.com/es-es/name/nm0001005/
Década de 2020,2022,Nominee,Kenneth Branagh,Belfast,https://www.imdb.com/es-es/name/nm0000110/
Década de 2020,2022,Nominee,Maggie Gyllenhaal,La hija oscura,https://www.imdb.com/es-es/name/nm0350454/
Década de 2020,2022,Nominee,Steven Spielberg,West Side Story,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2022,Nominee,Denis Villeneuve,Dune,https://www.imdb.com/es-es/name/nm0898288/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Nominee,Aaron Sorkin,El juicio de los 7 de Chicago,https://www.imdb.com/es-es/name/nm0815070/
Década de 2020,2021,Nominee,David Fincher,Mank,https://www.imdb.com/es-es/name/nm0000399/
Década de 2020,2021,Nominee,Regina King,Una noche en Miami...,https://www.imdb.com/es-es/name/nm0005093/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2020,Ganador,Sam Mendes,1917,https://www.imdb.com/es-es/name/nm0005222/
Década de 2020,2020,Nominee,Martin Scorsese,El irlandés,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Bong Joon Ho,Parásitos,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Nominee,Todd Phillips,Joker,https://www.imdb.com/es-es/name/nm0680846/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Nominee,Bradley Cooper,Ha nacido una estrella,https://www.imdb.com/es-es/name/nm0177896/
Década de 2010,2019,Nominee,Adam McKay,El vicio del poder,https://www.imdb.com/es-es/name/nm0570912/
Década de 2010,2019,Nominee,Peter Farrelly,Green Book,https://www.imdb.com/es-es/name/nm0268380/
Década de 2010,2019,Nominee,Spike Lee,Infiltrado en el KKKlan,https://www.imdb.com/es-es/name/nm0000490/
Década de 2010,2018,Ganador,Guillermo del Toro,La forma del agua,https://www.imdb.com/es-es/name/nm0868219/
Década de 2010,2018,Nominee,Christopher Nolan,Dunkerque,https://www.imdb.com/es-es/name/nm0634240/
Década de 2010,2018,Nominee,Martin McDonagh,Tres anuncios en las afueras,https://www.imdb.com/es-es/name/nm1732981/
Década de 2010,2018,Nominee,Steven Spielberg,Los archivos del Pentágono,https://www.imdb.com/es-es/name/nm0000229/
Década de 2010,2018,Nominee,Ridley Scott,Todo el dinero del mundo,https://www.imdb.com/es-es/name/nm0000631/
Década de 2010,2017,Ganador,Damien Chazelle,La ciudad de las estrellas. La La Land,https://www.imdb.com/es-es/name/nm3227090/
Década de 2010,2017,Nominee,Tom Ford,Animales nocturnos,https://www.imdb.com/es-es/name/nm1053530/
Década de 2010,2017,Nominee,Mel Gibson,Hasta el último hombre (Hacksaw Ridge),https://www.imdb.com/es-es/name/nm0000154/
Década de 2010,2017,Nominee,Barry Jenkins,Moonlight,https://www.imdb.com/es-es/name/nm1503575/
Década de 2010,2017,Nominee,Kenneth Lonergan,Manchester frente al mar,https://www.imdb.com/es-es/name/nm0518836/
