decade,year,result,director,movie,category,rating,movie url,director url
Década de 2020,2025,Ganador,Brady Corbet,The Brutalist,produccion,"7,4",https://www.imdb.com/title/tt8999762/,https://www.imdb.com/es-es/name/nm1227232/
Década de 2020,2025,Ganador,Brady Corbet,The Brutalist,direccion,"7,4",https://www.imdb.com/title/tt8999762/,https://www.imdb.com/es-es/name/nm1227232/
Década de 2020,2025,Nominee,Jacques Audiard,Emilia Pérez,guion,"5,4",https://www.imdb.com/title/tt20221436/,https://www.imdb.com/es-es/name/nm0002191/
Década de 2020,2025,Nominee,Jacques Audiard,Emilia Pérez,direccion,"5,4",https://www.imdb.com/title/tt20221436/,https://www.imdb.com/es-es/name/nm0002191/
Década de 2020,2025,Nominee,Jacques Audiard,Emilia Pérez,produccion,"5,4",https://www.imdb.com/title/tt20221436/,https://www.imdb.com/es-es/name/nm0002191/
Década de 2020,2025,Nominee,Sean Baker,Anora,guion,"7,5",https://www.imdb.com/title/tt28607951/,https://www.imdb.com/es-es/name/nm0048918/
Década de 2020,2025,Nominee,Sean Baker,Anora,produccion,"7,5",https://www.imdb.com/title/tt28607951/,https://www.imdb.com/es-es/name/nm0048918/
Década de 2020,2025,Nominee,Sean Baker,Anora,direccion,"7,5",https://www.imdb.com/title/tt28607951/,https://www.imdb.com/es-es/name/nm0048918/
Década de 2020,2025,Nominee,Edward Berger,Cónclave,direccion,"7,4",https://www.imdb.com/title/tt20215234/,https://www.imdb.com/es-es/name/nm0074163/
Década de 2020,2025,Nominee,Edward Berger,Cónclave,produccion,"7,4",https://www.imdb.com/title/tt20215234/,https://www.imdb.com/es-es/name/nm0074163/
Década de 2020,2025,Nominee,Coralie Fargeat,La sustancia,guion,"7,3",https://www.imdb.com/title/tt17526714/,https://www.imdb.com/es-es/name/nm0267287/
Década de 2020,2025,Nominee,Coralie Fargeat,La sustancia,direccion,"7,3",https://www.imdb.com/title/tt17526714/,https://www.imdb.com/es-es/name/nm0267287/
Década de 2020,2025,Nominee,Payal Kapadia,La luz que imaginamos,direccion,"7,1",https://www.imdb.com/title/tt32086077/,https://www.imdb.com/es-es/name/nm10339953/
Década de 2020,2025,Nominee,Payal Kapadia,La luz que imaginamos,guion,"7,1",https://www.imdb.com/title/tt32086077/,https://www.imdb.com/es-es/name/nm10339953/
Década de 2020,2024,Ganador,Christopher Nolan,Oppenheimer,guion,"8,3",https://www.imdb.com/title/tt15398776/,https://www.imdb.com/es-es/name/nm0634240/
Década de 2020,2024,Ganador,Christopher Nolan,Oppenheimer,produccion,"8,3",https://www.imdb.com/title/tt15398776/,https://www.imdb.com/es-es/name/nm0634240/
Década de 2020,2024,Ganador,Christopher Nolan,Oppenheimer,direccion,"8,3",https://www.imdb.com/title/tt15398776/,https://www.imdb.com/es-es/name/nm0634240/
Década de 2020,2024,Nominee,Bradley Cooper,Maestro,reparto,"6,5",https://www.imdb.com/title/tt5535276/,https://www.imdb.com/es-es/name/nm0177896/
Década de 2020,2024,Nominee,Bradley Cooper,Maestro,produccion,"6,5",https://www.imdb.com/title/tt5535276/,https://www.imdb.com/es-es/name/nm0177896/
Década de 2020,2024,Nominee,Bradley Cooper,Maestro,direccion,"6,5",https://www.imdb.com/title/tt5535276/,https://www.imdb.com/es-es/name/nm0177896/
Década de 2020,2024,Nominee,Celine Song,Vidas pasadas,guion,"7,8",https://www.imdb.com/title/tt13238346/,https://www.imdb.com/es-es/name/nm10227660/
Década de 2020,2024,Nominee,Celine Song,Vidas pasadas,direccion,"7,8",https://www.imdb.com/title/tt13238346/,https://www.imdb.com/es-es/name/nm10227660/
Década de 2020,2024,Nominee,Celine Song,Vidas pasadas,produccion,"7,8",https://www.imdb.com/title/tt13238346/,https://www.imdb.com/es-es/name/nm10227660/
Década de 2020,2024,Nominee,Greta Gerwig,Barbie,guion,"6,8",https://www.imdb.com/title/tt1517268/,https://www.imdb.com/es-es/name/nm1950086/
Década de 2020,2024,Nominee,Greta Gerwig,Barbie,direccion,"6,8",https://www.imdb.com/title/tt1517268/,https://www.imdb.com/es-es/name/nm1950086/
Década de 2020,2024,Nominee,Martin Scorsese,Los asesinos de la luna,produccion,"7,6",https://www.imdb.com/title/tt5537002/,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2024,Nominee,Martin Scorsese,Los asesinos de la luna,direccion,"7,6",https://www.imdb.com/title/tt5537002/,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2024,Nominee,Martin Scorsese,Los asesinos de la luna,reparto,"7,6",https://www.imdb.com/title/tt5537002/,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2024,Nominee,Yorgos Lanthimos,Pobres criaturas,direccion,"7,8",https://www.imdb.com/title/tt14230458/,https://www.imdb.com/es-es/name/nm0487166/
Década de 2020,2024,Nominee,Yorgos Lanthimos,Pobres criaturas,produccion,"7,8",https://www.imdb.com/title/tt14230458/,https://www.imdb.com/es-es/name/nm0487166/
Década de 2020,2023,Ganador,Steven Spielberg,Los Fabelman,guion,"7,5",https://www.imdb.com/title/tt14208870/,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2023,Ganador,Steven Spielberg,Los Fabelman,direccion,"7,5",https://www.imdb.com/title/tt14208870/,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2023,Nominee,James Cameron,Avatar: El sentido del agua,guion,"7,5",https://www.imdb.com/title/tt1630029/,https://www.imdb.com/es-es/name/nm0000116/
Década de 2020,2023,Nominee,James Cameron,Avatar: El sentido del agua,produccion,"7,5",https://www.imdb.com/title/tt1630029/,https://www.imdb.com/es-es/name/nm0000116/
Década de 2020,2023,Nominee,James Cameron,Avatar: El sentido del agua,direccion,"7,5",https://www.imdb.com/title/tt1630029/,https://www.imdb.com/es-es/name/nm0000116/
Década de 2020,2023,Nominee,Daniel Kwan,Todo a la vez en todas partes,direccion,"7,8",https://www.imdb.com/title/tt6710474/,https://www.imdb.com/es-es/name/nm3453283/
Década de 2020,2023,Nominee,Daniel Kwan,Todo a la vez en todas partes,guion,"7,8",https://www.imdb.com/title/tt6710474/,https://www.imdb.com/es-es/name/nm3453283/
Década de 2020,2023,Nominee,Baz Luhrmann,Elvis,guion,"7,3",https://www.imdb.com/title/tt3704428/,https://www.imdb.com/es-es/name/nm0525303/
Década de 2020,2023,Nominee,Baz Luhrmann,Elvis,produccion,"7,3",https://www.imdb.com/title/tt3704428/,https://www.imdb.com/es-es/name/nm0525303/
Década de 2020,2023,Nominee,Baz Luhrmann,Elvis,direccion,"7,3",https://www.imdb.com/title/tt3704428/,https://www.imdb.com/es-es/name/nm0525303/
Década de 2020,2023,Nominee,Martin McDonagh,Almas en pena de Inisherin,guion,"7,7",https://www.imdb.com/title/tt11813216/,https://www.imdb.com/es-es/name/nm1732981/
Década de 2020,2023,Nominee,Martin McDonagh,Almas en pena de Inisherin,direccion,"7,7",https://www.imdb.com/title/tt11813216/,https://www.imdb.com/es-es/name/nm1732981/
Década de 2020,2023,Nominee,Martin McDonagh,Almas en pena de Inisherin,produccion,"7,7",https://www.imdb.com/title/tt11813216/,https://www.imdb.com/es-es/name/nm1732981/
Década de 2020,2022,Ganador,Jane Campion,El poder del perro,guion,"6,8",https://www.imdb.com/title/tt10293406/,https://www.imdb.com/es-es/name/nm0001005/
Década de 2020,2022,Ganador,Jane Campion,El poder del perro,direccion,"6,8",https://www.imdb.com/title/tt10293406/,https://www.imdb.com/es-es/name/nm0001005/
Década de 2020,2022,Ganador,Jane Campion,El poder del perro,produccion,"6,8",https://www.imdb.com/title/tt10293406/,https://www.imdb.com/es-es/name/nm0001005/
Década de 2020,2022,Nominee,Kenneth Branagh,Belfast,produccion,"7,2",https://www.imdb.com/title/tt12789558/,https://www.imdb.com/es-es/name/nm0000110/
Década de 2020,2022,Nominee,Kenneth Branagh,Belfast,direccion,"7,2",https://www.imdb.com/title/tt12789558/,https://www.imdb.com/es-es/name/nm0000110/
Década de 2020,2022,Nominee,Maggie Gyllenhaal,La hija oscura,produccion,"6,7",https://www.imdb.com/title/tt9100054/,https://www.imdb.com/es-es/name/nm0350454/
Década de 2020,2022,Nominee,Maggie Gyllenhaal,La hija oscura,direccion,"6,7",https://www.imdb.com/title/tt9100054/,https://www.imdb.com/es-es/name/nm0350454/
Década de 2020,2022,Nominee,Steven Spielberg,West Side Story,direccion,"7,1",https://www.imdb.com/title/tt3581652/,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2022,Nominee,Denis Villeneuve,Dune,direccion,"8,0",https://www.imdb.com/title/tt1160419/,https://www.imdb.com/es-es/name/nm0898288/
Década de 2020,2022,Nominee,Denis Villeneuve,Dune,guion,"8,0",https://www.imdb.com/title/tt1160419/,https://www.imdb.com/es-es/name/nm0898288/
Década de 2020,2022,Nominee,Denis Villeneuve,Dune,produccion,"8,0",https://www.imdb.com/title/tt1160419/,https://www.imdb.com/es-es/name/nm0898288/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,direccion,"7,3",https://www.imdb.com/title/tt9770150/,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,produccion,"7,3",https://www.imdb.com/title/tt9770150/,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,guion,"7,3",https://www.imdb.com/title/tt9770150/,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Nominee,Aaron Sorkin,El juicio de los 7 de Chicago,guion,"7,7",https://www.imdb.com/title/tt1070874/,https://www.imdb.com/es-es/name/nm0815070/
Década de 2020,2021,Nominee,David Fincher,Mank,direccion,"6,8",https://www.imdb.com/title/tt10618286/,https://www.imdb.com/es-es/name/nm0000399/
Década de 2020,2021,Nominee,Regina King,Una noche en Miami...,direccion,"7,1",https://www.imdb.com/title/tt10612922/,https://www.imdb.com/es-es/name/nm0005093/
Década de 2020,2021,Nominee,Regina King,Una noche en Miami...,produccion,"7,1",https://www.imdb.com/title/tt10612922/,https://www.imdb.com/es-es/name/nm0005093/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,guion,"7,5",https://www.imdb.com/title/tt9620292/,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,direccion,"7,5",https://www.imdb.com/title/tt9620292/,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,produccion,"7,5",https://www.imdb.com/title/tt9620292/,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2020,Ganador,Sam Mendes,1917,produccion,"8,2",https://www.imdb.com/title/tt8579674/,https://www.imdb.com/es-es/name/nm0005222/
Década de 2020,2020,Ganador,Sam Mendes,1917,direccion,"8,2",https://www.imdb.com/title/tt8579674/,https://www.imdb.com/es-es/name/nm0005222/
Década de 2020,2020,Nominee,Martin Scorsese,El irlandés,direccion,"7,8",https://www.imdb.com/title/tt1302006/,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,guion,"7,6",https://www.imdb.com/title/tt7131622/,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,produccion,"7,6",https://www.imdb.com/title/tt7131622/,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,reparto,"7,6",https://www.imdb.com/title/tt7131622/,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Bong Joon Ho,Parásitos,guion,"8,5",https://www.imdb.com/title/tt6751668/,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Nominee,Bong Joon Ho,Parásitos,produccion,"8,5",https://www.imdb.com/title/tt6751668/,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Nominee,Bong Joon Ho,Parásitos,direccion,"8,5",https://www.imdb.com/title/tt6751668/,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Nominee,Todd Phillips,Joker,produccion,"8,3",https://www.imdb.com/title/tt7286456/,https://www.imdb.com/es-es/name/nm0680846/
Década de 2020,2020,Nominee,Todd Phillips,Joker,direccion,"8,3",https://www.imdb.com/title/tt7286456/,https://www.imdb.com/es-es/name/nm0680846/
Década de 2020,2020,Nominee,Todd Phillips,Joker,guion,"8,3",https://www.imdb.com/title/tt7286456/,https://www.imdb.com/es-es/name/nm0680846/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,guion,"7,6",https://www.imdb.com/title/tt6155172/,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,produccion,"7,6",https://www.imdb.com/title/tt6155172/,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,direccion,"7,6",https://www.imdb.com/title/tt6155172/,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Nominee,Bradley Cooper,Ha nacido una estrella,reparto,"7,6",https://www.imdb.com/title/tt1517451/,https://www.imdb.com/es-es/name/nm0177896/
Década de 2010,2019,Nominee,Bradley Cooper,Ha nacido una estrella,produccion,"7,6",https://www.imdb.com/title/tt1517451/,https://www.imdb.com/es-es/name/nm0177896/
Década de 2010,2019,Nominee,Bradley Cooper,Ha nacido una estrella,direccion,"7,6",https://www.imdb.com/title/tt1517451/,https://www.imdb.com/es-es/name/nm0177896/
Década de 2010,2019,Nominee,Adam McKay,El vicio del poder,guion,"7,2",https://www.imdb.com/title/tt6266538/,https://www.imdb.com/es-es/name/nm0570912/
Década de 2010,2019,Nominee,Adam McKay,El vicio del poder,direccion,"7,2",https://www.imdb.com/title/tt6266538/,https://www.imdb.com/es-es/name/nm0570912/
