title,url,country,imdbRating,imdbVotes,metascore,budget,domesticGross,worldwideGross,awards,directors,thespians
1. Anora,https://www.imdb.com/title/tt28607951/,US,7.5, (177K),91,"$6,000,000","$20,474,298","$56,556,258","['Best Motion Picture of the Year', 'Best Achievement in Directing', 'Best Performance by an Actress in a Leading Role', 'Best Original Screenplay', 'Best Achievement in Film Editing']","[{'name': 'Sean Baker', 'url': 'https://www.imdb.com/name/nm0048918/'}]","[{'name': 'Mikey Madison', 'url': 'https://www.imdb.com/name/nm5700898/'}, {'name': 'Paul Weissman', 'url': 'https://www.imdb.com/name/nm0919311/'}, {'name': 'Yura Borisov', 'url': 'https://www.imdb.com/name/nm5426973/'}, {'name': 'Lindsey Normington', 'url': 'https://www.imdb.com/name/nm7919330/'}, {'name': 'Emily Weider', 'url': 'https://www.imdb.com/name/nm3969425/'}]"
2. Mufasa: The Lion King,https://www.imdb.com/title/tt13186482/,US,6.6, (60K),56,"$200,000,000","$254,558,553","$720,804,054",[],"[{'name': 'Barry Jenkins', 'url': 'https://www.imdb.com/name/nm1503575/'}]","[{'name': 'Aaron Pierre', 'url': 'https://www.imdb.com/name/nm7543974/'}, {'name': 'Kelvin Harrison Jr.', 'url': 'https://www.imdb.com/name/nm5123156/'}, {'name': 'Tiffany Boone', 'url': 'https://www.imdb.com/name/nm2274707/'}, {'name': 'Kagiso Lediga', 'url': 'https://www.imdb.com/name/nm1616879/'}, {'name': 'Preston Nyman', 'url': 'https://www.imdb.com/name/nm2085738/'}]"
3. A Complete Unknown,https://www.imdb.com/title/tt11563598/,US,7.4, (71K),70,,"$74,990,465","$137,921,374",[],"[{'name': 'James Mangold', 'url': 'https://www.imdb.com/name/nm0003506/'}]","[{'name': 'Timothée Chalamet', 'url': 'https://www.imdb.com/name/nm3154303/'}, {'name': 'Joe Tippett', 'url': 'https://www.imdb.com/name/nm3117884/'}, {'name': 'Edward Norton', 'url': 'https://www.imdb.com/name/nm0001570/'}, {'name': 'Eriko Hatsune', 'url': 'https://www.imdb.com/name/nm0368971/'}, {'name': 'Peter Gray Lewis', 'url': 'https://www.imdb.com/name/nm1843993/'}]"
4. Wicked,https://www.imdb.com/title/tt1262426/,US,7.5, (154K),73,"$145,000,000","$473,231,120","$748,850,914","['Best Achievement in Production Design', 'Best Achievement in Costume Design']","[{'name': 'Jon M. Chu', 'url': 'https://www.imdb.com/name/nm0160840/'}]","[{'name': 'Cynthia Erivo', 'url': 'https://www.imdb.com/name/nm7248827/'}, {'name': 'Ariana Grande', 'url': 'https://www.imdb.com/name/nm3812858/'}, {'name': 'Jeff Goldblum', 'url': 'https://www.imdb.com/name/nm0000156/'}, {'name': 'Michelle Yeoh', 'url': 'https://www.imdb.com/name/nm0000706/'}, {'name': 'Jonathan Bailey', 'url': 'https://www.imdb.com/name/nm0047332/'}]"
5. Heretic,https://www.imdb.com/title/tt28015403/,US,7.0, (133K),71,,"$27,716,205","$58,102,517",[],"[{'name': 'Scott Beck', 'url': 'https://www.imdb.com/name/nm1399714/'}, {'name': 'Bryan Woods', 'url': 'https://www.imdb.com/name/nm1456816/'}]","[{'name': 'Hugh Grant', 'url': 'https://www.imdb.com/name/nm0000424/'}, {'name': 'Sophie Thatcher', 'url': 'https://www.imdb.com/name/nm7393303/'}, {'name': 'Chloe East', 'url': 'https://www.imdb.com/name/nm5557379/'}, {'name': 'Topher Grace', 'url': 'https://www.imdb.com/name/nm0333410/'}, {'name': 'Elle Young', 'url': 'https://www.imdb.com/name/nm4613178/'}]"
6. Moana 2,https://www.imdb.com/title/tt13622970/,US,6.6, (99K),58,"$150,000,000","$460,405,297","$1,059,719,509",[],"[{'name': 'David G. Derrick Jr.', 'url': 'https://www.imdb.com/name/nm3989471/'}, {'name': 'Jason Hand', 'url': 'https://www.imdb.com/name/nm2911364/'}, {'name': 'Dana Ledoux Miller', 'url': 'https://www.imdb.com/name/nm2834849/'}]","[{'name': ""Auli'i Cravalho"", 'url': 'https://www.imdb.com/name/nm7635388/'}, {'name': 'Dwayne Johnson', 'url': 'https://www.imdb.com/name/nm0425005/'}, {'name': 'Hualalai Chung', 'url': 'https://www.imdb.com/name/nm12533314/'}, {'name': 'Rose Matafeo', 'url': 'https://www.imdb.com/name/nm4194124/'}, {'name': 'David Fane', 'url': 'https://www.imdb.com/name/nm0266713/'}]"
7. Nosferatu,https://www.imdb.com/title/tt5040012/,US,7.2, (189K),78,"$50,000,000","$95,608,235","$181,299,232",[],"[{'name': 'Robert Eggers', 'url': 'https://www.imdb.com/name/nm3211470/'}]","[{'name': 'Lily-Rose Depp', 'url': 'https://www.imdb.com/name/nm6675440/'}, {'name': 'Nicholas Hoult', 'url': 'https://www.imdb.com/name/nm0396558/'}, {'name': 'Bill Skarsgård', 'url': 'https://www.imdb.com/name/nm0803889/'}, {'name': 'Aaron Taylor-Johnson', 'url': 'https://www.imdb.com/name/nm1093951/'}, {'name': 'Willem Dafoe', 'url': 'https://www.imdb.com/name/nm0000353/'}]"
8. The Friend,https://www.imdb.com/title/tt18108824/,US,6.7, (863),72,,,,[],"[{'name': 'Scott McGehee', 'url': 'https://www.imdb.com/name/nm0569166/'}, {'name': 'David Siegel', 'url': 'https://www.imdb.com/name/nm0796915/'}]","[{'name': 'Bill Murray', 'url': 'https://www.imdb.com/name/nm0000195/'}, {'name': 'Naomi Watts', 'url': 'https://www.imdb.com/name/nm0915208/'}, {'name': 'Cloé Xhauflaire', 'url': 'https://www.imdb.com/name/nm1340263/'}, {'name': 'Susan Wands', 'url': 'https://www.imdb.com/name/nm0910808/'}, {'name': 'Susan Lynskey', 'url': 'https://www.imdb.com/name/nm0528884/'}]"
9. The Brutalist,https://www.imdb.com/title/tt8999762/,US,7.4, (77K),90,,"$16,249,415","$49,315,030","['Best Achievement in Music Written for Motion Pictures (Original Score)', 'Best Performance by an Actor in a Leading Role', 'Best Achievement in Cinematography']","[{'name': 'Brady Corbet', 'url': 'https://www.imdb.com/name/nm1227232/'}]","[{'name': 'Adrien Brody', 'url': 'https://www.imdb.com/name/nm0004778/'}, {'name': 'Felicity Jones', 'url': 'https://www.imdb.com/name/nm0428065/'}, {'name': 'Guy Pearce', 'url': 'https://www.imdb.com/name/nm0001602/'}, {'name': 'Joe Alwyn', 'url': 'https://www.imdb.com/name/nm7153679/'}, {'name': 'Raffey Cassidy', 'url': 'https://www.imdb.com/name/nm3864163/'}]"
10. Gladiator II,https://www.imdb.com/title/tt9218128/,US,6.5, (226K),64,"$250,000,000","$172,438,016","$460,942,092",[],"[{'name': 'Ridley Scott', 'url': 'https://www.imdb.com/name/nm0000631/'}]","[{'name': 'Paul Mescal', 'url': 'https://www.imdb.com/name/nm8958770/'}, {'name': 'Denzel Washington', 'url': 'https://www.imdb.com/name/nm0000243/'}, {'name': 'Pedro Pascal', 'url': 'https://www.imdb.com/name/nm0050959/'}, {'name': 'Connie Nielsen', 'url': 'https://www.imdb.com/name/nm0001567/'}, {'name': 'Joseph Quinn', 'url': 'https://www.imdb.com/name/nm4806449/'}]"
