decade,year,result,director,movie,director url
Década de 2020,2025,Ganador,Sean Baker,Anora,https://www.imdb.com/es-es/name/nm0048918/
Década de 2020,2025,Nominee,Brady Corbet,The Brutalist,https://www.imdb.com/es-es/name/nm1227232/
Década de 2020,2025,Nominee,Jacques Audiard,Emilia Pérez,https://www.imdb.com/es-es/name/nm0002191/
Década de 2020,2025,Nominee,Coralie Fargeat,La sustancia,https://www.imdb.com/es-es/name/nm0267287/
Década de 2020,2025,Nominee,James Mangold,A Complete Unknown,https://www.imdb.com/es-es/name/nm0003506/
Década de 2020,2024,Ganador,Christopher Nolan,Oppenheimer,https://www.imdb.com/es-es/name/nm0634240/
Década de 2020,2024,Nominee,Yorgos Lanthimos,Pobres criaturas,https://www.imdb.com/es-es/name/nm0487166/
Década de 2020,2024,Nominee,Martin Scorsese,Los asesinos de la luna,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2024,Nominee,Jonathan Glazer,La zona de interés,https://www.imdb.com/es-es/name/nm0322242/
Década de 2020,2024,Nominee,Justine Triet,Anatomía de una caída,https://www.imdb.com/es-es/name/nm2630323/
Década de 2020,2023,Ganadores,Daniel Kwan,Todo a la vez en todas partes,https://www.imdb.com/es-es/name/nm3453283/
Década de 2020,2023,Nominee,Steven Spielberg,Los Fabelman,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2023,Nominee,Todd Field,Tár,https://www.imdb.com/es-es/name/nm0276062/
Década de 2020,2023,Nominee,Martin McDonagh,Almas en pena de Inisherin,https://www.imdb.com/es-es/name/nm1732981/
Década de 2020,2023,Nominee,Ruben Östlund,El triángulo de la tristeza,https://www.imdb.com/es-es/name/nm1128037/
Década de 2020,2022,Ganador,Jane Campion,El poder del perro,https://www.imdb.com/es-es/name/nm0001005/
Década de 2020,2022,Nominee,Kenneth Branagh,Belfast,https://www.imdb.com/es-es/name/nm0000110/
Década de 2020,2022,Nominee,Steven Spielberg,West Side Story,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2022,Nominee,Paul Thomas Anderson,Licorice Pizza,https://www.imdb.com/es-es/name/nm0000759/
Década de 2020,2022,Nominee,Ryûsuke Hamaguchi,Drive My Car,https://www.imdb.com/es-es/name/nm3152327/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Nominee,David Fincher,Mank,https://www.imdb.com/es-es/name/nm0000399/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2021,Nominee,Lee Isaac Chung,Minari. Historia de mi familia,https://www.imdb.com/es-es/name/nm1818032/
Década de 2020,2021,Nominee,Thomas Vinterberg,Otra ronda,https://www.imdb.com/es-es/name/nm0899121/
Década de 2020,2020,Ganador,Bong Joon Ho,Parásitos,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Nominee,Sam Mendes,1917,https://www.imdb.com/es-es/name/nm0005222/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Martin Scorsese,El irlandés,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2020,Nominee,Todd Phillips,Joker,https://www.imdb.com/es-es/name/nm0680846/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Nominee,Spike Lee,Infiltrado en el KKKlan,https://www.imdb.com/es-es/name/nm0000490/
Década de 2010,2019,Nominee,Yorgos Lanthimos,La favorita,https://www.imdb.com/es-es/name/nm0487166/
Década de 2010,2019,Nominee,Adam McKay,El vicio del poder,https://www.imdb.com/es-es/name/nm0570912/
Década de 2010,2019,Nominee,Pawel Pawlikowski,Cold War,https://www.imdb.com/es-es/name/nm0667734/
Década de 2010,2018,Ganador,Guillermo del Toro,La forma del agua,https://www.imdb.com/es-es/name/nm0868219/
Década de 2010,2018,Nominee,Greta Gerwig,Lady Bird,https://www.imdb.com/es-es/name/nm1950086/
Década de 2010,2018,Nominee,Jordan Peele,Déjame salir,https://www.imdb.com/es-es/name/nm1443502/
Década de 2010,2018,Nominee,Christopher Nolan,Dunkerque,https://www.imdb.com/es-es/name/nm0634240/
Década de 2010,2018,Nominee,Paul Thomas Anderson,El hilo invisible,https://www.imdb.com/es-es/name/nm0000759/
Década de 2010,2017,Ganador,Damien Chazelle,La ciudad de las estrellas. La La Land,https://www.imdb.com/es-es/name/nm3227090/
Década de 2010,2017,Nominee,Denis Villeneuve,La llegada (Arrival),https://www.imdb.com/es-es/name/nm0898288/
Década de 2010,2017,Nominee,Mel Gibson,Hasta el último hombre (Hacksaw Ridge),https://www.imdb.com/es-es/name/nm0000154/
